theta_deg,x_mm,y_mm
347.000,58.5171,0.4161
348.000,61.8784,0.4467
349.000,65.2510,0.4764
350.000,68.6351,0.5048
351.000,72.0306,0.5318
352.000,75.4376,0.5572
353.000,78.8561,0.5809
354.000,82.2861,0.6026
355.000,85.7277,0.6222
356.000,89.1810,0.6396
357.000,92.6458,0.6547
358.000,96.1224,0.6673
359.000,99.6106,0.6775
